nat_abbr,station_id,lat,lon,elevation,grid_index,grid_lat,grid_lon,grid_elevation,distance_m,elevation_diff
PMA,862,46.577179,9.529545,2668.0,575939,46.576679676998324,9.530212512580057,2514.7,75.4,153.3
PUY,61,46.51228,6.667461,455.0,741365,46.51247463794273,6.670859691582206,456.7,261.0,-1.7
RAG,2,47.016579,9.502553,496.0,789696,47.01594245687041,9.498665113567666,494.1,303.1,1.9
REH,83,47.427666,8.517889,443.0,791285,47.426245900038616,8.522551192232731,445.0,384.6,-2.0
ROB,28,46.347195,10.062963,1078.0,574566,46.350996571073665,10.05913437665935,1291.6,514.8,-213.6
ROE,96,46.443066,8.513389,1898.0,767435,46.44587678821087,8.513388997975332,2021.9,312.5,-123.9
RUE,66,47.434555,7.879361,611.0,783962,47.432615381121664,7.881795471029626,588.7,282.9,22.3
SAE,35,47.249439,9.343358,2502.0,795572,47.24961256084718,9.340326618326548,2182.9,229.6,319.1
SAG,152,47.081066,8.636967,790.0,793547,47.080819151439044,8.64000983700258,843.0,232.0,-53.0
SAM,29,46.526245,9.879408,1709.0,576150,46.52232876524158,9.879572547863015,1718.7,435.6,-9.7
SBE,72,46.462666,9.186803,1630.0,787315,46.458016584657834,9.187667493250066,1661.5,521.2,-31.5
SBO,52,45.843407,8.932408,351.0,763735,45.84164847867965,8.935494002913348,375.5,308.8,-24.5
SCU,30,46.793339,10.283167,1298.0,583867,46.78809997927769,10.278515953646918,1300.2,681.7,-2.2
SHA,70,47.6898,8.620064,439.0,793953,47.684186927793654,8.625371329032346,414.7,739.9,24.3
SIA,24,46.432331,9.762325,1804.0,576449,46.43022425957379,9.772014770875076,1879.7,778.7,-75.7
SIM,571,46.196823,8.056336,1465.0,774894,46.19873042354659,8.05964303968789,1543.7,331.3,-78.7
SIO,49,46.217693,7.316614,479.0,778697,46.22205520499556,7.318051620387102,500.4,497.5,-21.4
SMA,71,47.380966,8.5673,604.0,791435,47.37981290090262,8.56431016897991,568.6,259.1,35.4
SMM,25,46.6022,10.426303,1386.0,585312,46.60766704559901,10.432090654620332,1381.5,751.7,4.5
SPF,859,46.947033,8.012442,744.0,769994,46.95207615663108,8.01655749483112,733.6,641.9,10.4
SRS,1024,46.975506,9.668075,626.0,583116,46.98038536628366,9.670936388945062,777.9,584.4,-151.9
STG,56,47.425457,9.398461,776.0,795633,47.425628753096696,9.397594567966037,764.6,67.9,11.4
TAE,82,47.479855,8.904878,538.0,794221,47.476118116446166,8.90752839797548,563.0,460.8,-25.0
THU,738,46.749802,7.585222,570.0,771597,46.75090682903352,7.578879969732809,575.9,498.6,-5.9
TIT,273,46.770504,8.425814,3040.0,785636,46.76758146286413,8.424719072590698,2577.2,335.5,462.8
ULR,45,46.504856,8.308147,1346.0,767067,46.50618649217746,8.305512613803604,1376.4,250.1,-30.4
VAB,861,46.755032,9.554433,1569.0,576798,46.75883506561181,9.552401607084152,1556.6,450.3,12.4
VAD,36,47.127445,9.517514,457.0,795207,47.13036439333249,9.51892180196446,461.9,341.6,-4.9
VEV,205,46.471291,6.815094,405.0,740304,46.47243462986059,6.816179971156164,467.9,151.9,-62.9
VIO,1118,46.35302,9.6278,1089.0,574224,46.352761335048015,9.626560343277228,1131.7,99.4,-42.7
VIS,64,46.302876,7.842903,639.0,774577,46.30674435240021,7.842861988000682,693.2,430.2,-54.2
VIT,762,46.621777,6.71007,859.0,741242,46.62184645132518,6.70605300735771,825.2,306.9,33.8
VLS,338,46.627754,9.188711,1242.0,787896,46.627977194588766,9.192517468594946,1504.4,291.7,-262.4
WAE,81,47.220932,8.677639,486.0,792387,47.22515121265768,8.68260486861931,426.9,600.6,59.1
WFJ,73,46.833321,9.806395,2691.0,577075,46.831238146587,9.8086516843408,2539.4,288.3,151.6
WYN,34,47.255085,7.78745,422.0,784451,47.24890512248347,7.792275898808435,489.5,777.7,-67.5
ZER,41,46.029312,7.752411,1638.0,778102,46.02697833001382,7.7609978223055105,1809.1,711.9,-171.1
